file name,LPM,RPM,wallpower,Valve1,Valve2,P before pump [mmHg],P after pump [mmHg],DP (mmHg)
P2050V1.1V2.2R2,3,2050,35.5,1,2,-33.833,34.283,68.116
P2100V1.0V2.0R1,3,2100,35.7,0,0,-35.67,35.12,70.79
P2100V1.0V2.0R2,3,2100,35.7,0,0,-35.671,35.074,70.745
P2100V1.0V2.1R1,3,2100,35.7,0,1,-35.646,35.139,70.785
P2100V1.0V2.1R2,3,2100,35.7,0,1,-35.706,35.124,70.83
P2100V1.0V2.2R1,3,2100,35.7,0,2,-35.736,35.076,70.812
P2100V1.0V2.2R2,3,2100,35.8,0,2,-35.667,35.114,70.781
P2100V1.1V2.0R1,3,2100,35.7,1,0,-35.58,35.229,70.809
P2100V1.1V2.0R2,3,2100,35.7,1,0,-35.577,35.262,70.839
P2100V1.1V2.1R1,3,2100,35.7,1,1,-35.527,35.116,70.643
P2100V1.1V2.1R2,3,2100,35.7,1,1,-35.466,35.719,71.185
P2100V1.1V2.2R1,3,2100,35.7,1,2,-35.565,35.783,71.348
P2200V1.2V2.0R1,3,2200,36.1,2,0,-43.309,34.651,77.96
P2200V1.2V2.0R2,3,2200,36.1,2,0,-43.338,34.834,78.172
P2200V1.2V2.1R1,3,2200,36.1,2,1,-43.338,35.001,78.339
P2200V1.2V2.1R2,3,2200,36.1,2,1,-43.31,35.061,78.371
P2250V1.0V2.3R1,3,2250,36.3,0,3,-35.086,47.331,82.417
P2250V1.0V2.3R2,3,2250,36.4,0,3,-35.11,47.279,82.389
P2250V1.2V2.2R1,3,2250,36.3,2,2,-43.709,38.732,82.441
P2250V1.2V2.2R2,3,2250,36.4,2,2,-43.83,38.651,82.481
P2300V1.1V2.3R1,3,2300,36.5,1,3,-35.672,51.785,87.457
P2300V1.1V2.3R2,3,2300,36.6,1,3,-35.796,51.842,87.638
P2400V1.2V2.3R1,3,2400,37,2,3,-42.117,53.136,95.253
P2400V1.2V2.3R2,3,2400,36.9,2,3,-42.087,53.174,95.261
P2750V1.0V2.0R1,4,2750,39.4,0,0,-63.786,60.283,124.069
P2750V1.0V2.0R2,4,2750,39.5,0,0,-63.76,60.226,123.986
P2750V1.0V2.1R1,4,2750,39.5,0,1,-63.723,60.411,124.134
P2750V1.0V2.1R2,4,2750,39.5,0,1,-63.676,60.393,124.069
P2750V1.0V2.2R1,4,2750,39.5,0,2,-64.367,59.651,124.018
P2750V1.0V2.2R2,4,2750,39.5,0,2,-64.298,59.708,124.006
P2750V1.1V2.0R1,4,2750,39.5,1,0,-63.502,60.559,124.061
P2750V1.1V2.0R2,4,2750,39.4,1,0,-63.423,60.609,124.032
P2750V1.1V2.1R1,4,2750,39.4,1,1,-63.33,60.728,124.058
P2750V1.1V2.1R2,4,2750,39.4,1,1,-63.441,60.617,124.058
P2800V1.0V2.4R1,3,2800,39.1,0,4,-35.824,96.9,132.724
P2800V1.0V2.4R2,3,2800,39.2,0,4,-35.81,96.819,132.629
P2800V1.3V2.0R1,3,2800,39,3,0,-64.273,64.744,129.017
P2800V1.3V2.0R2,3,2800,39.1,3,0,-64.273,64.744,129.017
P2800V1.3V2.1R1,3,2800,39,3,1,-96.708,35.602,132.31
P2800V1.3V2.1R2,3,2800,39,3,1,-96.749,35.493,132.242
P2800V1.3V2.2R1,3,2800,39,3,2,-96.959,35.36,132.319
P2800V1.3V2.2R2,3,2800,39,3,2,-96.917,35.386,132.303
P2800V1.1V2.2R1,4,2800,39.9,1,2,-97.018,35.172,132.19
P2800V1.1V2.2R2,4,2800,39.8,1,2,-96.95,35.25,132.2
P2850V1.1V2.4R1,3,2850,39.4,1,4,-35.78,103.97,139.75
P2850V1.1V2.4R2,3,2850,39.5,1,4,-35.819,104.25,140.069
P2900V1.3V2.3R1,3,2900,39.7,3,3,-95.359,47.583,142.942
P2900V1.3V2.3R2,3,2900,39.8,3,3,-95.294,47.705,142.999
P2950V1.2V2.0R1,4,2950,40.7,2,0,-84.42,60.046,144.466
P2950V1.2V2.0R2,4,2950,40.8,2,0,-84.381,60.017,144.398
P2950V1.2V2.1R1,4,2950,40.7,2,1,-84.439,60.151,144.59
P2950V1.2V2.1R2,4,2950,40.8,2,1,-84.35,60.144,144.494
P2950V1.2V2.2R1,4,2950,40.7,2,2,-85.008,59.457,144.465
P2950V1.2V2.2R2,4,2950,40.8,2,2,-85.017,59.383,144.4
P3000V1.0V2.3R1,4,3000,41.3,0,3,-64.153,86.117,150.27
P3000V1.0V2.3R2,4,3000,41.2,0,3,-64.085,86.19,150.275
P3050V1.1V2.3R1,4,3050,41.8,1,3,-64.4,91.291,155.691
P3050V1.1V2.3R2,4,3050,41.6,1,3,-64.383,91.275,155.658
P3100V1.4V2.0R1,3,3100,41,4,0,-128.18,35.508,163.688
P3100V1.4V2.0R2,3,3100,41.1,4,0,-128.31,35.448,163.758
P3100V1.4V2.1R1,3,3100,41.1,4,1,-128.22,35.558,163.778
P3100V1.4V2.1R2,3,3100,41.1,4,1,-128.18,35.542,163.722
P3100V1.4V2.2R1,3,3100,41.1,4,2,-127.94,35.854,163.794
P3100V1.4V2.2R2,3,3100,41.1,4,2,-127.94,35.854,163.794
P3150V1.0V2.4R1,4,3150,41.7,0,4,-36.168,136.52,172.688
P3150V1.0V2.4R2,4,3150,41.6,0,4,-36.143,136.53,172.673
P3150V1.2V2.3R1,4,3150,42.4,2,3,-85.775,80.821,166.596
P3150V1.2V2.3R2,4,3150,42.5,2,3,-86.015,80.555,166.57
P3250V1.2V2.4R1,3,3250,42.3,2,4,-43.353,140.45,183.803
P3250V1.2V2.4R2,3,3250,42.4,2,4,-43.442,140.39,183.832
P3250V1.4V2.3R1,3,3250,42.2,4,3,-127.99,53.443,181.433
P3250V1.4V2.3R2,3,3250,42.3,4,3,-128.06,53.352,181.412
P3400V1.3V2.0R2,4,3400,44.6,3,0,-101.41,90.762,192.172
P3400V1.3V2.0R1,4,3400,44.6,3,0,-135.77,59.389,195.159
P3400V1.0V2.0R1,5,3400,45.8,0,0,-135.81,59.436,195.246
P3450V1.0V2.2R1,5,3400,46.2,0,2,-99.496,99.022,198.518
P3450V1.3V2.1R1,4,3450,45.0,3,1,-139.78,61.158,200.938
P3450V1.3V2.1R2,4,3450,45.0,3,1,-139.86,61.099,200.959
P3450V1.3V2.2R1,4,3450,45.0,3,2,-140.12,60.892,201.012
P3450V1.3V2.2R2,4,3450,45.0,3,2,-140.14,60.804,200.944
P3500V1.3V2.4R1,3,3500,44.3,3,4,-95.539,117.97,213.509
P3500V1.3V2.4R2,3,3500,44.3,3,4,-95.505,117.94,213.445
P3550V1.2V2.0R1,5,3550,47.3,2,0,-120.57,89.844,210.414
P3550V1.2V2.2R1,5,3550,47.3,2,2,-119.46,91.088,210.548
P3600V1.3V2.3R1,4,3600,46.5,3,3,-136.68,84.171,220.851
P3600V1.3V2.3R2,4,3600,46.5,3,3,-136.82,84.156,220.976
P3750V1.0V2.3R1,5,3750,49.2,0,3,-99.581,138.85,238.431
P3800V1.4V2.4R1,3,3800,47.1,4,4,-125.1,127.68,252.78
P3800V1.4V2.4R2,3,3800,47.1,4,4,-125.17,127.84,253.01
P3850V1.2V2.3R1,5,3850,50.4,2,3,-119.38,132.21,251.59
P4000V1.4V2.0R1,4,4000,50.8,4,0,-180.89,89.316,270.206
P4000V1.4V2.0R2,4,4000,50.8,4,0,-181.83,88.276,270.106
